Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Engine_Volumes(litres),Fuel_Consumption(litres),Fuel_Consumption_Per_Kilometers
Ssangyong,2022,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,AWD,Diesel,5595.0,White / Black,"Caringbah, NSW",4 cyl,SUV,4,7,51990.0,2.2,8.7,100.0
MG,2022,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,Front,Premium,16.0,Black / Black,"Brookvale, NSW",4 cyl,Hatchback,5,5,19990.0,1.5,6.7,100.0
BMW,2022,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,Rear,Premium,8472.0,Grey / White,"Sylvania, NSW",4 cyl,Coupe,2,4,108988.0,2.5,6.6,100.0
Mercedes-Benz,2011,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,Rear,Premium,136517.0,White / Brown,"Mount Druitt, NSW",8 cyl,Coupe,2,4,32990.0,5.5,11.0,100.0
Renault,2022,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,Front,Unleaded,1035.0,Grey / Black,"Castle Hill, NSW",4 cyl,SUV,4,5,34990.0,1.3,6.0,100.0
Toyota,2004,Estima,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,Other,Unleaded,160230.0,Grey / -,"Saint Marys, NSW",4 cyl,Commercial,4,5,9990.0,2.5,7.7,100.0
Land,2017,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,AWD,Diesel,67662.0,White / Black,"Blacktown, NSW",4 cyl,SUV,2,4,62280.0,2.5,5.1,100.0
Toyota,2013,86,Coupe,2013 Toyota 86 GT,USED,Automatic,Rear,Premium,82012.0,Black / -,"Mcgraths Hill, NSW",4 cyl,Coupe,2,4,24888.0,2.5,7.1,100.0
Honda,2014,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,Front,Hybrid,38229.0,Blue / -,"Lidcombe, NSW",4 cyl,Hatchback,5,5,17900.0,1.3,4.5,100.0
Toyota,2009,HiAce,Carbarn,2009 Toyota HiAce (No Badge),USED,Automatic,Other,Unleaded,148190.0,White / -,"Lidcombe, NSW",4 cyl,Commercial,4,5,42500.0,2.5,7.7,100.0
Toyota,2018,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,Rear,Unleaded,16324.0,White / Grey,"Lidcombe, NSW",4 cyl,Commercial,4,2,41999.0,2.7,9.8,100.0
Honda,2015,City,USED Dealer ad,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,Other,Unleaded,181745.0,Black / -,"Rouse Hill, NSW",4 cyl,SUV,4,5,11999.0,2.5,7.7,100.0
Toyota,2017,HiAce,USED Dealer ad,2017 Toyota HiAce,USED,Automatic,Other,Unleaded,136296.0,Silver / Grey,"Lidcombe, NSW",4 cyl,SUV,4,5,38999.0,2.5,7.7,100.0
Toyota,2016,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,Rear,Diesel,229829.0,White / Grey,"Lidcombe, NSW",4 cyl,Commercial,4,2,27995.0,2.5,8.0,100.0
Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,Front,Premium,55676.0,White / Black,"Five Dock, NSW",4 cyl,Hatchback,5,5,14999.0,1.4,6.2,100.0
BMW,2014,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,4WD,Diesel,82624.0,Black / Black,"Haberfield, NSW",4 cyl,SUV,4,5,24985.0,2.5,5.6,100.0
Mitsubishi,2013,Outlander,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,Other,Unleaded,120020.0,Blue / Grey,"Blacktown, NSW",4 cyl,Wagon,4,5,13999.0,2.5,7.7,100.0
BMW,2011,118D,Hatchback,2011 BMW 118D,USED,Automatic,Rear,Diesel,95204.0,Silver / -,"Five Dock, NSW",4 cyl,Hatchback,5,5,13999.0,2.5,5.4,100.0
Ford,2014,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,Front,Unleaded,76289.0,White / Black,"Cabramatta, NSW",3 cyl,Hatchback,5,5,12400.0,2.5,5.4,100.0
Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,AWD,Unleaded,219681.0,Black / Black,"Blacktown, NSW",4 cyl,SUV,4,7,13999.0,2.4,7.5,100.0
Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,Front,Unleaded,98079.0,Blue / Black,"Blacktown, NSW",4 cyl,Hatchback,5,5,11999.0,1.6,6.1,100.0
Volkswagen,2023,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,AWD,Diesel,15.0,White / Black,"Blacktown, NSW",6 cyl,Ute / Tray,4,5,83887.0,2.5,8.4,100.0
Honda,2018,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,Front,Unleaded,43274.0,Silver / Black,"Castle Hill, NSW",4 cyl,Hatchback,5,5,19900.0,1.5,5.8,100.0
